year,make,model,trim,exterior_color,interior_color,drivetrain,fuel_type,transmission,mileage,in_accident,1_owner,personal_used,price
2016,Acura,MDX,3.5L w/Technology Package,White,Parchment,All-wheel Drive,Gasoline,9-Speed Automatic,62793,FALSE,TRUE,TRUE,24450
2017,Acura,TLX,V6 w/Technology Package,Bellanova White Pearl,Espresso,FWD,Gasoline,9-Speed Automatic,145335,FALSE,TRUE,TRUE,15998
2009,Acura,TL,Technology,Gray,Black,Front-wheel Drive,Gasoline,5-Speed Automatic,120760,FALSE,TRUE,TRUE,12850
2015,Acura,RDX,Technology Package,White,Parchment,Front-wheel Drive,Gasoline,6-Speed Automatic,110762,TRUE,TRUE,TRUE,16998
2019,Acura,RDX,A-Spec,Blue,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,37994,FALSE,TRUE,TRUE,36998
2015,Acura,RDX,Base,White,Parchment,FWD,Gasoline,6-Speed Automatic,75521,FALSE,TRUE,TRUE,20998
2020,Acura,MDX,3.5L,Gray,Graystone,Front-wheel Drive,Gasoline,9-Speed Automatic,23914,FALSE,TRUE,TRUE,34888
2014,Acura,RDX,Technology,Black,Ebony,FWD,Gasoline,6-Speed Automatic,90450,FALSE,TRUE,TRUE,17998
2018,Acura,MDX,3.5L w/Technology Package,White,Parchment,FWD,Gasoline,9-Speed Automatic,28252,FALSE,FALSE,TRUE,32998
2017,Acura,TLX,w/Technology Package,Gray,Ebony,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,74216,FALSE,FALSE,TRUE,23828
2020,Acura,RDX,Base,Lunar Silver Metallic,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,54665,TRUE,TRUE,TRUE,30388
2019,Acura,RDX,A-Spec,Majestic Black Pearl,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,31589,FALSE,TRUE,TRUE,34899
2018,Acura,MDX,3.5L w/Technology Package,White Diamond Pearl,Ebony,All-wheel Drive,Gasoline,9-Speed Automatic,56916,FALSE,FALSE,TRUE,30998
